"Please Enter your twitter email","Please Enter your twitter email"
"Submit","Submit"
"Email Address","Email Address"
"Forgot Your Password","Forgot Your Password"
"Dont have an account?","Dont have an account?"
"Create One!","Create One!"
"First Name","First Name"
"Last Name","Last Name"
"Password","Password"
"Confirm Password","Confirm Password"
"Sign Up Now!","Sign Up Now!"
"Already have an account?","Already have an account?"
"Login","Login"
"Enter your Email Address here to receive a link to change password.","Enter your Email Address here to receive a link to change password."
"Enter Your Email","Enter Your Email"
"Sign in with","Sign in with"
"Your account has been successfully connected through","Your account has been successfully connected through"
"Thank you for registering with","Thank you for registering with"
"You will receive welcome email with registration info in a moment.","You will receive welcome email with registration info in a moment."
"User profile can\'t provide all required info, please register and then connect with Apptha Social login.","User profile can\'t provide all required info, please register and then connect with Apptha Social login."
"Twitter Login connection failed","Twitter Login connection failed"
"This email is already is registered!","This email is already is registered!"
"This email is already associated with","This email is already associated with"
"Facebook Login connection failed","Facebook Login connection failed"
"Google Login connection failed","Google Login connection failed"
"Yahoo Login connection failed","Yahoo Login connection failed"
"This email is already is registered!","This email is already is registered!"
"This email is already associated with","This email is already associated with"
"Thank you for registering with","Thank you for registering with"
"You will receive welcome email with registration info in a moment.","You will receive welcome email with registration info in a moment."
"If you are a registered VAT customer, please click <a href="%s">here</a> to enter you shipping address for proper VAT calculation"
"Invalid Email Address or Password","Invalid Email Address or Password"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>."
"Account Not Confirmed","Account Not Confirmed"
"Invalid customer data","Invalid customer data"
"Email already exists","Email already exists"
"Cannot save the customer.","Cannot save the customer."
"This field is required","This field is required"
"If there is an account associated with ","If there is an account associated with "
" You will receive an email with a link to reset your password"," You will receive an email with a link to reset your password"
"Password mismatch","Password mismatch"
"Password cannot be less than 6","Password cannot be less than 6"
"Facebook","Facebook"
"Google+","Google+"
"Yahoo","Yahoo"
"Twitter","Twitter"
"Incorrect CAPTCHA.","Incorrect CAPTCHA."
"DOB","DOB"
"Gender","Gender"
"Male","Male"
"Female","Female"
"Tax/VAT number","Tax/VAT number"
"Powered by","Powered by"
"Apptha Social Login","Apptha Social Login"
"Don't have an account?","Don't have an account?"
"This is a required field.","This is a required field."
"Invalid Email Address.","Invalid Email Address."
" Login!"," Login!"
"OR","OR"
"Enable Social Login","Enable Social Login"
"Apply License Key","Apply License Key"
"Enable CAPTCHA on Registration Form","Enable CAPTCHA on Registration Form"
"If yes, Goto System->Configuration->Customer Configuration, Enable CAPTCHA and Set Forms to 'Create user'","If yes, Goto System->Configuration->Customer Configuration, Enable CAPTCHA and Set Forms to 'Create user'"
"General Configuration","General Configuration",
"Enable to show social login","Enable to show social login"
"Facebook Login Configuration","Facebook Login Configuration"
"Enable Facebook Login","Enable Facebook Login"
"Facebook App Id","Facebook App Id"
"Please enter","Please enter"
"facebook app id","facebook app id"
"Facebook App Secret Key","Facebook App Secret Key"
"facebook app secret key","facebook app secret key"
"Twitter Login Configuration","Twitter Login Configuration"
"Enable Twitter Login","Enable Twitter Login"
"Twitter Consumer Key","Twitter Consumer Key"
"twitter consumer key","twitter consumer key"
"Twitter Consumer Secret","Twitter Consumer Secret"
"twitter consumer secret","twitter consumer secret"
"Google Login Configuration","Google Login Configuration"
"Enable Google Login","Enable Google Login"
"Google Client ID","Google Client ID"
"Google client id","Google client id"
"Google Client Secret Key","Google Client Secret Key"
"Google API Key","Google API Key"
"Yahoo Login Configuration","Yahoo Login Configuration"
"Enable Yahoo Login","Enable Yahoo Login"
"Yahoo Consumer Key","Yahoo Consumer Key"
"Yahoo consumer key","Yahoo consumer key"
"Yahoo App Secret Key","Yahoo App Secret Key"
"Yahoo app secret key","Yahoo app secret key"
"Yahoo App Id","Yahoo App Id"
"Yahoo app id","Yahoo app id"
"Social Login","Social Login"
"Please enter a valid month","Please enter a valid month"
"Please enter a valid date","Please enter a valid date"
"Please enter a valid year","Please enter a valid year"
"New User? Sign Up","New User? Sign Up"
"Login!","Login!"
"Please type the letters below","Please type the letters below"
"If there is no account associated with this email please enter your correct email-id","If there is no account associated with this email please enter your correct email-id"
"You will receive an email ","You will receive an email "
"with a link to reset your password","with a link to reset your password"






